sentence	label
Yang berkesan adalah pihak hotel berkenan memberikan makan sahur (sebagai ganti sarapan) waktu saya menginap di sini pada bulan Ramadhan. Yang perlu diperbaiki sekiranya handuk perlu diganti, plafon perlu dicat ulang agar bersih (ada plak hitam) dan mungkin kamar perlu dicek ulang (sepertinya ada air AC yang bocor menetes di kamar. Selebihnya baik.	0
kamar jadul dan panas, ac ga dingin, suara pompa nonstop	0
Jumlah Penumpang yang Refund Tiket di Kantor Lion Air Menyusut: Para penumpang yang terlantar akibat delay par... http://bit.ly/1LpceZU 	1
#Promo_Bpn Dapatkn Diskon Hingga Jutaan Rupiah utk Pembelian berbagai tipe Mobil Chevrolet (085752202420/2693A97A) 	1
Malam Mingguannya di IGD Sambil Nonton Konser Dari Hati Afgan Episode 01 ??? (at Rumah Sakit Wirabhakti) [pic] ? https://path.com/p/RY95 	0
Sumpah baru bgt melek...cek hp terus buka galeri foto..liat foto ini dan baca captionnya gue langsung cengar cengir? 	1
Sahabat tak akan pernah luntur kaya baju, sahabat tak akan pernah pecah kaya gelas, sahabat juga bukan? http://instagram.com/p/zXQmZSFhKN/ 	1
Setiap kali HP aku bunyi, aku selalu berharap itu dari kamu. :)	1
#Lounge HAnya dengan 35rb Sinyal HP anda bisa full walau pelosok!! Full TESTI http://dlvr.it/8lQ8pL  #Assadiqulhaq	1
Lantai lembab	0
Sutan Bhatoegana dipecat Demokrat jika jadi tersangka http://brtgr.in/1Bu5Mih  #kilasbalik #korupsi	0
Wah, Berat Badan Afgan Turun 19 Kilogram: Beberapa bulan tidak bertemu Afgan Syahreza (25), kami pangling. Dia... http://tinyurl.com/kftjjgw 	1
"peraturan kantor boleh ""dilarang pakai sendal japit"" tapi gue tetep setia http://instagram.com/p/zXAAEFt2vG/ "	1
tempat memang tidak strategis. bangunannya pun sudah usang dan tidak terurus karena hotelnya sangat sepi. beberapa fasilitas hotel pun ada yang rusak, contohnya ac, shower, kasur, kunci lemari. Walaupun yang menginap sedikit, tapi tetap saja di buatkan sarapan. yaa sesuai lah sama budget kita. overall hotelnya lumayan bagus kok. terima kasih~	0
sprei kotor bernoda sepertinya tidak diganti,  di laci bnyak puntung rokok,  tidak ada sajadah	0
F-Demokrat: Keputusan Presiden Beri Kepastian http://bit.ly/1w1i8x1 	1
Ternyata Ini Rahasia Sehat Tanpa Makan Nasi: Pola makan yang dijalani Lena tersebut sebenarnya telah lama menj... http://bit.ly/1LUZrN7 	1
kebersihan nya kurang	0
pelayanannya mohon di perhalus fasilitasnya bagus..	0
Jangan berdoa turun ujan ya, mblo RT @dellyellie: selamat makan, biar kuat menghadapi kepiluan malam minggu ini :)	0
Seprai dan bed covernya bau, kamarnya banyak nyamuk	0
@afgansyah_reza ... http://www.wowkeren.com/berita/tampil/00067822.html ? sy doakan mimpi afgan utk go international akan tercapai suatu hari nanti.. Amin... @MY_Afgan	1
"""Macam mana atok kenal opah?"" ""Dah2 la tu cu. Atok dah penat cerita. Baik kamu pergi belajar sana. Jangan jd macam atok. Suka reka cerita."""	0
Jangan salahin cewek kalo suata saat nanti dia pergi karna dia lelah dengan sifat kamu yg cuek dan gak pernah ngehargain perjuangan dia :')	0
saat cek in kamar blm siap, handuk & perlengkapan mandi belum ada.. water heater tidak ada.. fasilitas hotel yang lain cukup ok	0
#Terkini Charles Honoris Siap Perjuangkan Kebebasan Beragama http://bit.ly/1KwfyTv  #newsStatus of U.S. West Coast? http://dlvr.it/8fRk4f 	1
Hati wanita itu kaya kayu, kalo kayu semakin lama semakin keropos, kalo hati wanita semakin lama disia2in semakin dia pergi untuk ninggalin.	0
RT @VIVA_log: Solusi Ketika Nilai Sekolah Anak Jeblok http://dlvr.it/8kQvGs  	1
Remote ac tidak berfungsi. Ada kecoa dan kaki seribu dimalam hari. Porsi sarapan sedikit. Ada bekas rembesan air di langit-langit kamar dan di dinding nya. Akan tetapi, dengan harga yang relatif murah untuk single room, kamar ini cocok untuk para budget traveller. 	0
#News Dapat Bonus Raja Rp 384 Triliun, Warga Arab Saudi Ganti HP Hingga Kawin Lagi http://dlvr.it/8jpJWZ  #Assadiqulhaq	1
KamuLahh takdirkuh ?? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina (with alfian) ? https://path.com/p/368pNp 	1
Adik Syahrini, Aisyahrani membenarkan kakaknya punya hubungan dengan  Feriyani. Namun, hubungan itu hanya murn... http://bit.ly/1vRs9qD 	1
