epoch,step_in_epoch,step_loss,learning_rate,global_step
1,1,0.721897304058075,0.0,0
1,2,0.6816129088401794,1.1876484560570073e-08,1
1,3,0.7090399861335754,2.3752969121140145e-08,2
1,4,0.7239925265312195,3.562945368171022e-08,3
1,5,0.7332971692085266,4.750593824228029e-08,4
1,6,0.6357761025428772,5.9382422802850356e-08,5
1,7,0.6754657626152039,7.125890736342044e-08,6
1,8,0.6992616653442383,8.313539192399051e-08,7
1,9,0.6756700873374939,9.501187648456058e-08,8
1,10,0.683319091796875,1.0688836104513064e-07,9
1,11,0.6813660264015198,1.1876484560570071e-07,10
1,12,0.6915285587310791,1.3064133016627079e-07,11
1,13,0.719368040561676,1.4251781472684087e-07,12
1,14,0.6860912442207336,1.5439429928741093e-07,13
1,15,0.683840274810791,1.6627078384798102e-07,14
1,16,0.7269236445426941,1.7814726840855108e-07,15
1,17,0.7184305787086487,1.9002375296912116e-07,16
1,18,0.6818223595619202,2.0190023752969125e-07,17
1,19,0.675815999507904,2.1377672209026128e-07,18
1,20,0.7031180262565613,2.2565320665083137e-07,19
1,21,0.6862598061561584,2.3752969121140143e-07,20
1,22,0.6764547824859619,2.4940617577197154e-07,21
1,23,0.6794201135635376,2.6128266033254157e-07,22
1,24,0.6757519245147705,2.7315914489311166e-07,23
1,25,0.6846175789833069,2.8503562945368174e-07,24
1,26,0.6930647492408752,2.969121140142518e-07,25
1,27,0.6809533834457397,3.0878859857482186e-07,26
1,28,0.7134945392608643,3.20665083135392e-07,27
1,29,0.6842482686042786,3.3254156769596203e-07,28
1,30,0.6977043151855469,3.4441805225653207e-07,29
1,31,0.6545121669769287,3.5629453681710215e-07,30
1,32,0.6964195966720581,3.6817102137767224e-07,31
1,33,0.7077441811561584,3.800475059382423e-07,32
1,34,0.6922711133956909,3.9192399049881236e-07,33
1,35,0.7151743769645691,4.038004750593825e-07,34
1,36,0.683171808719635,4.1567695961995253e-07,35
1,37,0.7018852829933167,4.2755344418052256e-07,36
1,38,0.6989296078681946,4.394299287410927e-07,37
1,39,0.7039934992790222,4.5130641330166273e-07,38
1,40,0.6822102665901184,4.631828978622328e-07,39
1,41,0.6922684907913208,4.7505938242280285e-07,40
1,42,0.6696180105209351,4.86935866983373e-07,41
1,43,0.6839181184768677,4.988123515439431e-07,42
1,44,0.6974459886550903,5.106888361045131e-07,43
1,45,0.678670346736908,5.225653206650831e-07,44
1,46,0.6798591613769531,5.344418052256532e-07,45
1,47,0.6563992500305176,5.463182897862233e-07,46
1,48,0.6982929706573486,5.581947743467934e-07,47
1,49,0.6567061543464661,5.700712589073635e-07,48
1,50,0.6866129636764526,5.819477434679336e-07,49
1,51,0.6746448278427124,5.938242280285035e-07,50
1,52,0.6906914114952087,6.057007125890737e-07,51
1,53,0.6731566786766052,6.175771971496437e-07,52
1,54,0.6954501271247864,6.294536817102138e-07,53
1,55,0.7052108645439148,6.41330166270784e-07,54
1,56,0.6539115905761719,6.53206650831354e-07,55
1,57,0.6644103527069092,6.650831353919241e-07,56
1,58,0.6707993745803833,6.769596199524942e-07,57
1,59,0.7076614499092102,6.888361045130641e-07,58
1,60,0.6911770701408386,7.007125890736342e-07,59
1,61,0.6633532643318176,7.125890736342043e-07,60
1,62,0.7233586311340332,7.244655581947745e-07,61
1,63,0.6860946416854858,7.363420427553445e-07,62
1,64,0.6873058080673218,7.482185273159146e-07,63
1,65,0.6683858633041382,7.600950118764846e-07,64
1,66,0.6796597838401794,7.719714964370546e-07,65
1,67,0.6915174722671509,7.838479809976247e-07,66
1,68,0.6629205346107483,7.957244655581949e-07,67
1,69,0.7017386555671692,8.07600950118765e-07,68
1,70,0.7062140107154846,8.19477434679335e-07,69
1,71,0.6462875604629517,8.313539192399051e-07,70
1,72,0.6947691440582275,8.432304038004751e-07,71
1,73,0.6612737774848938,8.551068883610451e-07,72
1,74,0.6824283599853516,8.669833729216152e-07,73
1,75,0.7090446352958679,8.788598574821854e-07,74
1,76,0.728337287902832,8.907363420427555e-07,75
1,77,0.7214317321777344,9.026128266033255e-07,76
1,78,0.7011818289756775,9.144893111638955e-07,77
1,79,0.6568633317947388,9.263657957244656e-07,78
1,80,0.6575972437858582,9.382422802850356e-07,79
1,81,0.7420952320098877,9.501187648456057e-07,80
1,82,0.6626565456390381,9.619952494061759e-07,81
1,83,0.7003334164619446,9.73871733966746e-07,82
1,84,0.7136204838752747,9.857482185273159e-07,83
1,85,0.6673155426979065,9.976247030878861e-07,84
1,86,0.6927205324172974,1.0095011876484562e-06,85
1,87,0.6783728003501892,1.0213776722090261e-06,86
1,88,0.6663092374801636,1.0332541567695962e-06,87
1,89,0.6597039103507996,1.0451306413301663e-06,88
