step,reward_mean,reward_std,accuracy_mean,accuracy_stds
1,-23.560625,10.019468841179906,0.2882812572643161,0.05143805991122194
2,-16.108125,4.453591554506879,0.3335937596857548,0.042324717113961796
3,-20.17125,9.270696356665987,0.2960937535390258,0.06415294642043948
4,-18.955,8.339026471957023,0.322656256146729,0.06222105871869418
5,-19.105625,4.56137584609896,0.3023437578231096,0.05081729463066644
6,-16.99375,5.545865436295764,0.3187500098720193,0.05247767579856535
7,-15.71,4.117116709543221,0.320312506519258,0.04327307067397555
8,-15.9125,4.870720557576671,0.3414062550291419,0.048557062000957385
9,-16.283125,3.7659024794031772,0.33593750186264515,0.053193891007257216
10,-14.801176470588233,4.226476605669301,0.3477941260618322,0.05866707300024952
11,-16.175,3.6262325490790026,0.34843751043081284,0.048387073457726575
12,-15.405000000000001,3.498478240606907,0.3351562572643161,0.0482544436172263
13,-15.575,2.898432766168641,0.34687500447034836,0.04517760215813584
14,-18.351875,8.983712497312846,0.33125000447034836,0.0646505040734513
15,-15.865,5.955144834510745,0.33437500800937414,0.05510997780105444
16,-17.598125000000003,9.002032561281645,0.32812500558793545,0.05367364032780312
17,-14.82,3.244855543780031,0.3359375074505806,0.03504322486839656
18,-15.745000000000001,6.729066614323268,0.32031250558793545,0.05446382729073987
19,-16.5475,6.011461448766015,0.3359375027939677,0.05075119494894417
20,-17.2764705882353,6.641248058802406,0.3375000068370034,0.05180563082120425
21,-15.091249999999999,3.814318213980055,0.34609375428408384,0.04067755290486532
22,-14.899375,2.7269155394648728,0.3343750052154064,0.038400643565216205
23,-13.894375,3.2195690098792724,0.3507812563329935,0.03231580903431404
24,-13.395000000000001,3.372298919135135,0.35156250931322575,0.04416654170660635
25,-14.420624999999998,3.6842188262065814,0.34687500540167093,0.05546324864872261
26,-13.70375,3.0857350724746286,0.3445312548428774,0.04506261667956886
27,-15.274375,3.7545205565258257,0.3390625035390258,0.0539232290618455
28,-14.4475,2.3475931823891463,0.339843756519258,0.05646118657085352
29,-14.2625,4.365612070489085,0.33281250577419996,0.048387072525433644
30,-14.41,4.03951511359237,0.3286764753215453,0.04552889823931173
31,-14.455625,3.996811180100331,0.33515625540167093,0.04379880045235632
32,-15.645000000000001,4.755320704221746,0.33359375316649675,0.049552442767165666
33,-14.987499999999999,6.010979017597715,0.34531250316649675,0.034763429696644414
34,-15.564375,5.1767351786019535,0.3453125078231096,0.05337715768192179
35,-15.126874999999998,4.424347012201348,0.34531250689178705,0.041663416409600466
36,-16.3875,5.882331064297555,0.33671875670552254,0.043181292853982305
37,-15.988125,6.952835050134226,0.3226562598720193,0.04865751490995644
38,-18.411875000000002,9.36624072050121,0.31562500819563866,0.056163128729338756
39,-15.063749999999999,4.435352121027146,0.350000006146729,0.05191639806690528
40,-15.84705882352941,5.310507635761479,0.3235294179004781,0.05455069888491288
41,-16.028750000000002,6.782960153023161,0.32578125316649675,0.06241693713867233
42,-15.418125,5.363954020531403,0.3398437537252903,0.05849992381510589
43,-16.353125,8.148142977659083,0.3226562552154064,0.060952520783041156
44,-14.131250000000001,3.3250787114743616,0.3421875052154064,0.03504322304126934
45,-14.249375,4.841147163573423,0.3343750052154064,0.049902247962561874
46,-13.2175,2.5699063698897673,0.33984375838190317,0.05081729639176517
47,-12.89875,2.6921944464507015,0.3375000059604645,0.03217384607211249
48,-13.445,3.35799605419661,0.3617187552154064,0.034649119810566446
49,-15.096875,6.74771046239945,0.33984375558793545,0.04618634839296517
50,-15.258823529411764,3.9291203660884553,0.3125000026296167,0.05622957102515334
51,-13.807500000000001,6.4913177591302675,0.34921875316649675,0.04538652097530008
52,-14.838750000000001,3.648922572143728,0.3468750063329935,0.04666620165953515
53,-14.369375,5.7646904391628,0.35078125447034836,0.05143806289583478
54,-16.305,5.878341602867258,0.3250000048428774,0.05728219643082608
55,-15.875625,8.41242159603137,0.34062500670552254,0.0534913868294027
56,-14.46125,4.275903230605201,0.32656250707805157,0.04438710218360293
57,-13.374375,4.071140762657931,0.32890625670552254,0.04733497996893712
58,-13.69625,3.9372974154234273,0.35468750819563866,0.05517638642899198
59,-16.366875,9.20242883614837,0.3375000050291419,0.06281172259493784
60,-15.231176470588233,5.5689114812955305,0.3242647113168941,0.0491603380462656
61,-16.718125,11.928191511472935,0.3281250037252903,0.04810876528549371
62,-12.515,3.1768400180053136,0.33437500800937414,0.05633673862746501
63,-15.39875,6.51557161249111,0.33515625447034836,0.04402119985091925
64,-12.634375,2.8385096634281513,0.3468750063329935,0.050871315392604685
65,-13.9925,5.915038567076295,0.33515625912696123,0.0508172964204011
66,-15.229999999999999,6.225212847766733,0.3226562552154064,0.05899860131770157
67,-13.005625,3.6137462707521397,0.3421875024214387,0.05777025608985245
68,-14.58125,4.110804171631142,0.3460937552154064,0.047128220940799825
69,-14.588125,3.899969901726807,0.3351562572643161,0.04174390740605158
70,-11.99235294117647,3.0486246260775767,0.36250000841477337,0.040219987467780105
71,-13.485,5.240820546441177,0.34687500540167093,0.060353770850265255
72,-15.283125,5.089805643084517,0.3414062578231096,0.05353130285282735
73,-14.39,5.915121511854173,0.36171875428408384,0.05684902388046435
74,-14.945625,7.087691768790105,0.3250000011175871,0.05502130269268483
75,-12.876249999999999,3.103757551339988,0.3492187578231096,0.038646216539663165
76,-12.870000000000001,3.906646579868724,0.3554687537252903,0.048405988947826106
77,-14.334375000000001,5.693862889934654,0.3296875087544322,0.05482126724453556
78,-11.20625,2.4099867089882467,0.36562501080334187,0.044083547374891806
79,-16.19125,13.363411743918542,0.351562506519258,0.059436646555492446
80,-13.274117647058825,4.291603373515653,0.34779412255567665,0.040273722520670685
81,-12.99875,5.203919046017146,0.3398437602445483,0.045332703920663006
82,-13.75125,4.442722806736878,0.3320312527939677,0.04306806463621658
83,-13.393125,4.992864556982795,0.3507812572643161,0.056849024827570906
84,-14.488125,4.979513302961947,0.33046875707805157,0.05134304776551558
85,-15.278125,10.06276503921139,0.35859375447034836,0.06712842694925306
86,-13.925625,5.393456647584645,0.3531250078231096,0.05457577863263649
87,-11.485000000000001,4.2517173001035715,0.3601562548428774,0.040797409956181536
88,-11.563125,3.5745012217615764,0.3664062563329935,0.044131982818960476
89,-11.694375,3.8299640480525396,0.36718750558793545,0.04918773837610086
90,-11.989999999999998,4.059474031418936,0.35147059489698973,0.0510698663515129
91,-11.62875,4.161845857008643,0.35625000670552254,0.05642334426405208
92,-11.984375,4.4195502722986415,0.3359375074505806,0.04590134768695382
93,-9.634375,3.447654943490575,0.37812500447034836,0.038654114517354135
94,-11.55,3.264104011823153,0.3671875074505806,0.03504321955311754
95,-15.865625,8.163793518296195,0.34609375800937414,0.053531302703315804
96,-11.848125,2.237549493167693,0.35312500037252903,0.04086467722535013
97,-11.435624999999998,2.407202652328009,0.35937500931322575,0.029481193920301817
98,-12.10625,3.4633471436603056,0.3562500048428774,0.04550068870132336
99,-11.479375000000001,4.097414533504634,0.35390625335276127,0.0341523328293072
100,-13.767058823529412,6.423004395695837,0.3485294186017093,0.04905023644966802
101,-10.285625,2.997304974368641,0.35546875558793545,0.04440772251189043
102,-12.17375,3.7702186193243494,0.3593750037252903,0.05439655186343325
103,-16.19875,11.819170272802571,0.34140625689178705,0.06323300628088334
104,-13.039375,3.8998789544516637,0.34687500819563866,0.0491132271555582
105,-13.676249999999998,10.66020278594643,0.3460937552154064,0.06698279254969043
