sentence	label
Ternyata PDIP Marah Besar Saat Jokowi Pilih BH http://pojoksatu.id/pojok-news/2015/02/21/ternyata-pdip-marah-besar-saat-jokowi-pilih-bh/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter ? #PojokSatu	0
Keberanian Raffi Ahmad Untuk Gigi @dahSyatMusik http://youtu.be/Lc4_J28QK-U?a 	1
pelayanan airynya kurang...saat datang setingannya bukan setingan airy...masih settingan hotel biasa. .	0
nyaman cuma kamar mandii bauu	0
Semua oke, hanya tidak mendapatkan snack sesuai yang ditawarkan. Breakfast sekedarnya.	0
Cinta adalah, meski kadang bertengkar atau tidak mengerti, tapi keduanya tidak saling memutuskan untuk pergi.	1
"Malem minggu tiba"" mandi,pake baju rapih,wangi kirain mau pacaran, pas ditanya mau kemana? (w/ ubaid) [pic] ? https://path.com/p/3l3OyB "	0
"""Cewek"" Bangun pagi - mata belum melek - fokus nyari hp - ngeliat socmed, sms, bbm dll - berharap ada kata manis dari orang yg disayang."	1
tamu sy mngatakan tidak memuaskan akan pelayanan kamarnya, diberikan kamar yg tdk bisa terkunci dari luar sehingga jika keluar mencari makan harus membawa bawa ranselx naik turun kelantai 3. ketika komplen minta pindah kamar tdk diladeni alias DICUEKI padahal sdh 3x tamu saya menginap disini.....	0
Pagiiiiii, mari menjemur baju lalu siap2 ke Bekasi. Eniwe, sudahkah km mengucap Alhamdulilah pagi ini? :)	1
demi body kayak Syahrini, yakaaaaannn... ??? (at Alun Alun Engku Putri) [pic] ? https://path.com/p/4jyiHF 	1
13-Misalnya menjaga kebersihan & kesehatan diri kita, menjaga agar jgn sampai kita meninggalkan sampah atau kotoran ke mana pun kita pergi.	1
ada kolam renang meskipun hanya utk dewasa saja, ac dingin, tv kabel oke, dapat minum dan snack, dan alat mandi plus sisir, sayang kamar mandi agak bau, dan kamar tidak kedap suara, fasilitas ada musola, lift dan kolam renang nilai plusnya, overall oke sih, terimakasih airy	1
Gara-Gara Kasus Feriyani Lim, Syahrini Harus Tunda Syuting Video Klip: http://goo.gl/AuRwgT 	0
Happy terus yaa kalian rukun2... jangan dengarkan orng2 yg sirik sma kalian @RaffiAhmadLagi @Lady6igi We ? U both 	1
"Baju labuh, tudung labuh. Handsock, stokin.   ""Alimnya. Wuihh."" Kalau namanya wanita muslim,  pakaian itulah yang kena dipakai. Wajib."	1
Air asin, kamar kotor dan wc kotor.	0
":)""@ratihsari140: Selamat pagi a @RaffiAhmadLagi semangat buat aktivitas hari ini ?? FamilyRaffiah17 @FamilyRANS_FC """	1
"Wih keren ?? -joo""@XXXArianaG: @Wgl_yadongrp malah penah liat yang gapake baju di acara concert"""	1
34. Indikasi itu jelas adanya, bhwa kecurigaan SBY terhadap Anas begitu besar pasca kekecewaannya pd Kongres Musda Partai Demokrat di Sulut.	0
Coba deh taruh pot tanaman di sekitar meja kantor. Gak cuma mempercantik ruangan, tapi punya manfaat lain lho! 	1
Sudah cukup baik. Harga segitu cuman untuk istrahat sudah sangat bagus. Hanya saja air hangatnya kurang berfungsi dengan baik	0
PDIP Marah BG Batal Dilantik, Manuver Apa yang akan Dilancarkan? http://dlvr.it/8g4cjx 	0
[Nasional] Diskon - Cocok Untuk Anak Muda, Dompet Levis Gaul Hanya Rp 60.000 http://gpon.co/naklm  	1
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Pembunuh Chris ""American Sniper"" Kyle pura-p... http://bit.ly/19LMf0Z "	1
untuk pelayanan dan kenyamanan oke, cuma lantai di kamarnya agak sedikit kotor seperti tidak di pel	1
semua baik, lokasinya di tengah kota, yang perlu diperbaiki terkait layanan adalah : 1. ketersediaan sarapan (kami turun jam 9 kurang, nasgo abis dan roti tak ada serta meja kotor k/pelayan hanya 2 merangkap resepsionis) 2. lift tanpa alasan yg bisa dibenarkan dimatikan (padahal tdk ada perbaikan) shg saya yg terkilir dan ortu 80th harus via tangga	0
tidak ada koneksi WiFi dan menu sarapan yang cenderung menu makan siang	0
siaran tv nya tdk berfungsi snack nya tdk ada	0
Cantik cantik cantik,liga kok kick off nya pake mundur2 kya syahrini...payah tim9 payah,menpora payah [pic] ? https://path.com/p/YXgGp 	0
16.27: RT @araputrasikumb1: Daan mogot Perbatasan jkt - tangerang selalu macet akibat pedagang yg makan ruas jln 	0
Rela deh demi nntn konsernya afgan di tv gak mamingan kemana-mana (at Golden Paradise Cilegon B2/03) ? https://path.com/p/25ikpF 	1
