sentence	label
wafinya gk terhubung	0
PT Semen Padang Salurkan Rp4,55 Miliar untuk Sekolah di Padang http://bitly.com/1anmEfd 	1
"Mobil mungil, stylish & irit memang pilihan pintar ""@AlexandraRacing: @Auto01_tvone #auto01tvone """	1
#Golkar #ARB Situs iklan otomotif Carmudi dapat dana 25 juta dolar http://bit.ly/1AWXm3l 	1
Milisi ditangkap terkait serangan sekolah Peshawar http://dlvr.it/8j6ytz 	1
yang berkesan ada lokasi yang strategis, tapi sprei tempat tidur, serta sarung bantal sangat kotor, kurang nyaman	0
kamar bagus .... yg kurang hanya kebersihan kamar mandi .	0
Buat apalah susah cari kesana kesini, sudah didepan mata? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/3g5cHT 	1
[Nasional] Diskon - Wajah Bebas dari Jerawat dengan Pil Bersih Wajah Binasyifa Hanya Rp... http://gpon.co/8vbv5  	1
wifi buruk kurang maksimal	0
lumayan,, tapi kamar agak kotor sepertinya lantai tidak dibersihkan	0
Demokrat Nilai Keputusan @jokowi_do2 Beri Kepastian Ditengah Kisruh KPK vs Polri http://kr-c.tk/1LgOsgF 	1
Alhamdulillah sah..congrat yaa an..target? (w/ ibink, Oky, & 3 others at Kantor Bupati Situbondo) [pic] ? https://path.com/p/4usvP5 	1
Dapatkan diskon Rp 20ribu untuk makan di KFC! http://ow.ly/JFurR 	1
10. Sedangkan Menteri Pendayagunaan Aparatur Negara EE Mangindaan (Anggota Dewan Kehormatan Partai Demokrat) mendukung Walikota Manado.	1
tidak ada yg berkesan. siaran TVnya tidak bagus, wifi mengalami ganguan, 	0
Tahukah kamu kalau 100% kejadian hp yg terjatuh di kamar mandi diakibatkan orang membawa hp ke kamar mandi. #ProfessorMimin	0
Pelayanan saat check-in sangat tidak ramah, nasi goreng nya hangus, telur dadar kok bisa yaa tipis gitu.. tidak ada sendal, sprei dan sarung bantal kotor...	0
km mandi bau, anduk tdk ada, sudah saya minta tdk di kaish.	0
Jatah rezeki setiap makhluk sudah ditentukan, hewan yang tidak punya akal saja bisa makan, apalagi manusia.	1
Tas Hermes Rp1,5 Miliar Dipakai Belanja Sayur oleh Syahrini http://dlvr.it/8fstRf  #viva	0
sayangnya: 1. handuknya bau 2. odolnya bekas pas saya buka, sudah terpakai 3. wifi tidak sampai ke kamar 4. alamat sepertinya ga sesuai. harusnya dangdeur indah 1 no 20 bukan dangdeur indah no 20. tks	0
FOTO: Pejabat UMNO Kunjungi Golkar: Mempererat hubungan politik sekaligus menimba ilmu Partai Golkar. http://bit.ly/1ATTyjb  #Kabari	1
wifi y palsu. air panas y rusak.	0
Kamar tidak di sediakan tidak di berikan pelayanan ganti tempat, pelanggan cari sendiri	0
[Nasional] Diskon - Cincin perak motif naga Rp 300.000 http://gpon.co/vfe72  	1
Yuhuiiii rejeki anak soleha...ada mobil bmw nangkring cantik di depan pintu rumah.... #PhotoGrid? http://instagram.com/p/zWsP5XFeLB/ 	1
Ac nya tidak dingin	0
Dompet Dhuafa Sulsel Berbagi Perlengkapan Sekolah http://www.dompetdhuafa.org/post/detail/749/dompet-dhuafa-sulsel-berbagi-perlengkapan-sekolah ? 	1
pelayanan buruk.. diketerangan receptionist 24 jam..  tapi tidak bisa check in malam jam 12 an..  nomor yang bisa dihubungi langsung tidak aktif	0
kemaren kunci nya rusak jd kalo masuksusah buka nya dan wc nya kemaren agak kotor	0
scr keseluruhan sudah baik, kamar bagus dan bersih, pelayanan jg memuaskan, yg perlu diperbaiki fasilitas air panas krn di kamar yg sy tempati tdk berfungsi sbg mana mestinya. terima kasih Airy Room. 	1
