sentence	label
Selamat tidur penyemangatku? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina (with Salsabilla) ? https://path.com/p/396oUD 	1
check in yang lama, ruangan kamar kurang bersih, da toilet tidak terwat, shower tidak bisa digunakan	0
"""@pengusahaPKS: Inilah cara tepat ibu hebat menyehatkan keluarga dg @SalimahFood #GemarIkan Info HP/WA 087788955995, """	1
Kamulah Takdirku - Single by Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5 	1
#Sports Bupati Sebut Budi Pekerti Anak Sekolah di Wajo Luntur http://dlvr.it/8khXqS  #Assadiqulhaq	0
Ngaku Tidak Kenal, Tapi Syahrini Foto Bareng Feriyani Lim http://goo.gl/fb/c7374k 	0
Tolong jangan datang (lagi) kalau hanya untuk menyakiti (lagi) dan kamu pergi (lagi).	0
Letaknya strategis di tengah kota, dekat dgn stasiun & alun-alun malang. Stafnya ramah dan kamar bersih. Kekurangannya adalah air panas di kamar yg sy tempati mati, padahal kamar2 sebelah air panasnya berfungsi	1
Maceaaaa punya mau ngantor malam2 (with Andi Nurabasiah at Kantor PANWASLU) ? https://path.com/p/MlXUp 	0
Poros Muda Golkar Nilai Jokowi Bisa Kendalikan Situasi Saat Ini ? BeritaSatu http://bit.ly/1LlZWiW 	1
Kamar tidak sesuai dgn foto, sangat sempit ac berbunyi berisik sekali	0
Untuk kamar sebenarnya bagus , namun kebersihan kurang. Seperti sprey selimut warna kusam dan kotor (sperti tidak di ganti) 	0
Tempat horor banget... Kotor.. Kamar mandi kotor, air banyak cu.. Alias kotor.. Tembok mohon di cat ulang.. Ahh pokoknya harus banyak yg diperbaiki sih.. Dari kamar, ke bersihan Lantai, ac, toilet, Tempat tidur.. 	0
Semoga tuhan membalas semua yang terjadi kepada mu suatu saat nanti hingga kau sadari? ? Sadis by Afgan ? https://path.com/p/4wkUis 	1
Selamt pagi kesyangan ku #rans aa @raffiahmadlagi mba @lady6igi love u	1
#BeritaUNY #Jogja Mobil GURT F15 UNY Siap Wakili Indonesia: http://www.koran-sindo.com/read/965393/151/mobil-gurt-f15-uny-siap-wakili-indonesia-1424149142 ? via @SINDOnews	1
Seharusny libur gini mb gigi/Aa Raffi mnyempatkan wkt mnyapa kita di sosmed wlpn hnya 1 foto atau sekedar hallo cc @Lady6igi @RaffiAhmadLagi	0
Ada apa dengan baju ini siii kok kayanya banyak yg bingung ini warnanya apa ._. Bukannya itu putih gold ya? ? 	0
"Selamat pagi aku seneng deh liat ini @RaffiAhmadLagi @Lady6igi @ruben_onsu @sarwendah29 smg lancar persalinanx nnti """	1
suka banget sama kamarnya bersih banget air Snack lengkap tapi sayang tv tidak satelit tapi gpp all good😘	1
kamar bau banget	0
"Amiin.""@rahmatiqbal: @demokrat_medan @MedanBangkit  jaya demokrat medan.ramadhan pohan menang...salam masyarakat medan"""	1
Ketika seseorang yg sangat berarti pergi, jangan terus bersedih. Kamu akan kehilangan dirimu dan lupa bahwa kamu jg sangat berarti.	1
kamar rapih 'cuman air y kecil sama Ac y kurang dinggin	0
handuknya sudah tidak layak pakai. :( showernya bocor.	0
hanya sj ac nya kurang dingin...g ad sendalnya.....semuanya nyaman kebersihan nyaman.....tapi knp di jakut hanya sedikit hotel airy nya...	1
Semua OK.. Hanya perlu ditingkatkan lg kebersihan lantai kamar dan handuk.. Staff ramah dan sigap.. Good job! Kalau bisa airy menyediakan kamar yg ada breakfastnya sehingga bisa coba food beveragesnya bgm..	0
fasilitas seperti makanan, minum, dan bantal airy tidak tersedia di hotel ini	0
PDIP Pede Tanpa Efek Jokowi di Pilkada Serentak http://dlvr.it/8gC7Lb  (HalloRiau)	1
Minum air sebelum makan. Penelitian telah membuktikan bahwa ketika kamu minum 2 gelas air sebelum makan akan membantu makan lebih sedikit.	1
Peredaran Batu Akik Palsu http://bit.ly/18cdrps  #Golkar #ARB	0
Kita berdua diizinkan bersama dan bersatu selamanya?? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/3KO6xT 	1
